refdes	value	man-part-num	
C123	0.1 uF	530L104KT16T	
C127	0.1 uF	530L104KT16T	
C121	0.1 uF	885012205037	
C116	10 pF	885012005055	
C120	10 pF	885012005055	
C119	0.1 uF	885012205037	
C118	10 pF	885012005055	
C117	0.1 uF	885012205037	
C113	1500 pF	885012007041	
C114	3300 pF	885012006016	
C115	.056 uF	GRM31C5C1H563JA01L	
R106	1 K	CRCW04021K00FKEDC	
R103	1.5 K	CRCW04021K50FKED	
C106	0.1 uF	885012205037	
C105	0.1 uF	885012205037	
C102	0.1 uF	885012205037	
C103	0.1 uF	885012205037	
C104	0.1 uF	885012205037	
R102	1 K	CRCW04021K00FKEDC	
R101	1 K	CRCW04021K00FKEDC	
R108	1.5 K	CRCW04021K50FKEDC	
C112	22 pF	885012005057	
C111	0.1 uF	885012205037	
R104	51 R	CRCW080551R0FKEA	
R105	50 R	CRCW080550R0FKTA	
L100	3.3 nH	0402CS-3N3XJLU	
U101	unknown	ERA-2SM+	
C124	22 pF	885012005057	
C122	0.1 uF	885012205037	
R109	51 R	CRCW080551R0FKEA	
R113	51 R	CRCW080551R0FKEA	
L101	22 nH	LQW18AS22NJ00D	
FL101	unknown	LFCN3000D+	
R112	1 K	CRCW04021K00FKEDC	
R111	1 K	CRCW04021K00FKEDC	
R110	1 K	CRCW04021K00FKEDC	
C126	0.1 uF	530L104KT16T	
C125	0.1 uF	885012205037	
U103	unknown	PE43711	
U102	unknown	SIM-83+	
FL100	unknown	LFCN3000D+	
U104	unknown	ERA-2SM+	
U100	unknown	ADF4356BCPZ	
